2021-04-03T00:42:27.348977300  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.379951600  		Info		getData		Connected to database
2021-04-03T00:42:27.382950100  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.423927  		Info		getData		Connected to database
2021-04-03T00:42:27.425925100  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.460906600  		Info		getData		Connected to database
2021-04-03T00:42:27.462906  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.496885200  		Info		getData		Connected to database
2021-04-03T00:42:27.498884200  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.532864100  		Info		getData		Connected to database
2021-04-03T00:42:27.534862800  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.567843500  		Info		getData		Connected to database
2021-04-03T00:42:27.568843300  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.603823300  		Info		getData		Connected to database
2021-04-03T00:42:27.606821600  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.639803200  		Info		getData		Connected to database
2021-04-03T00:42:27.641801700  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.674782200  		Info		getData		Connected to database
2021-04-03T00:42:27.676782  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.840341  		Info		getData		Connected to database
2021-04-03T00:42:27.842338600  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.874300300  		Info		getData		Connected to database
2021-04-03T00:42:27.876299400  		Info		getData		User 7 have gotten
2021-04-03T00:42:27.913280800  		Info		getData		Connected to database
2021-04-03T00:42:27.916277  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.954255400  		Info		getData		Connected to database
2021-04-03T00:42:27.956254300  		Info		getData		User 9 have gotten
2021-04-03T00:42:27.993235300  		Info		getData		Connected to database
2021-04-03T00:42:27.995235800  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.027214600  		Info		getData		Connected to database
2021-04-03T00:42:28.029215900  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.062193400  		Info		getData		Connected to database
2021-04-03T00:42:28.064195900  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.100171300  		Info		getData		Connected to database
2021-04-03T00:42:28.102170900  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.137154100  		Info		getData		Connected to database
2021-04-03T00:42:28.138168  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.305086400  		Info		getData		Connected to database
2021-04-03T00:42:28.308086500  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.354079100  		Info		getData		Connected to database
2021-04-03T00:42:28.356056500  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.392039700  		Info		getData		Connected to database
2021-04-03T00:42:28.394038300  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.437013200  		Info		getData		Connected to database
2021-04-03T00:42:28.440009800  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.488980400  		Info		getData		Connected to database
2021-04-03T00:42:28.489980  		Info		getData		User 7 have gotten
2021-04-03T00:42:28.525962900  		Info		getData		Connected to database
2021-04-03T00:42:28.527958600  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.568935100  		Info		getData		Connected to database
2021-04-03T00:42:28.570933100  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.604914200  		Info		getData		Connected to database
2021-04-03T00:42:28.606913100  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.771429400  		Info		getData		Connected to database
2021-04-03T00:42:28.773422900  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.804392400  		Info		getData		Connected to database
2021-04-03T00:42:28.806387600  		Info		getData		User 9 have gotten
2021-04-03T00:42:28.837370400  		Info		getData		Connected to database
